SampleLogFunc,avgLogLiso,avgLogEpkz,avgLogEiso,avgLogT90z,stdLogLiso,stdLogEpkz,stdLogEiso,stdLogT90z,atanhCorLisoEpkz,atanhCorLisoEiso,atanhCorLisoT90z,atanhCorEpkzEiso,atanhCorEpkzT90z,atanhCorEisoT90z,avgLogThresh,stdLogThresh
-6651.3200104260259,118.65163347265802,5.6548873852889781,119.68636368016517,2.6078645631377673,.19561405860523451,-.18350547571148434,.60380297928776538,-.27706198012284359E-01,.53016122151825595,1.6293638090703060,.54618670520403834,.65788046724054206,.24893828884720814,.71724084965760715,-1.0269298386609527,-1.2029299981412900
-6651.2980683858914,118.66950236937375,5.6498190888851596,119.70260501979439,2.5944225074855787,.15673582642450370,-.18602388995128866,.58519728483963185,-.29033042553495217E-01,.51580924140084006,1.5814426018596968,.53653298823490048,.65453652025605602,.26348421607929157,.70714620169945319,-1.0315726632475990,-1.2170804864244054
-6649.8398121360897,118.69667001441165,5.6641250134777144,119.71655338747334,2.6011896901199667,.15823282803360469,-.18912442469692078,.59571492129625703,-.34068759017954149E-01,.50793201717177072,1.6562597406032056,.54029011901136303,.64352412578848950,.26284599486226773,.69218078921250703,-1.0268850230416398,-1.2571341298650061
-6649.7435145701129,118.69635872256603,5.6538895624711003,119.72535521182621,2.6112409550820401,.15565614056939564,-.16916166353696113,.58709190564546354,-.36616624932612744E-01,.50297361163091114,1.5734683591888645,.50544563973410672,.65138876596681228,.28742643177641192,.69203705839262419,-1.0178329175513616,-1.2238737671762900
-6649.2377258043680,118.58504264131925,5.6482026842784752,119.64020727457508,2.5884222305129763,.23535459116882540,-.17844620487335039,.60978857236430761,-.16738592705181164E-01,.54853361093117248,1.6452404993481708,.50461369062563932,.68605543845920780,.30369489288352908,.69035322031405366,-1.0109911592999492,-1.2570122014571570
-6650.6048143759917,118.45223739311976,5.6074299378114674,119.47902801043440,2.5667032305426205,.27991373732921110,-.13606886117403949,.65314742625466837,-.56700645858602777E-02,.58490172836284604,1.5963502140529380,.48315318580422784,.72656125322893772,.36552916813242453,.70438071892562892,-1.0220333373529231,-1.2069177843321428
-6651.1563320719488,118.54381641510319,5.6534981700044016,119.52601990229849,2.5946530301170116,.24504899139743719,-.15959540520174703,.64297906158407370,-.17203487441773468E-01,.50089100917571616,1.7487680225326643,.47882043438497945,.66184480961165015,.35336953382720876,.66445517750887451,-.97000898739188390,-1.1295665929068988
-6650.0024923210358,118.56882342205273,5.6330398911849064,119.52533190207971,2.5848512076890477,.21281877879363326,-.14282128940348204,.64657100576989779,-.26332316040305663E-01,.51981729712931735,1.6857055695120993,.50943890337248743,.67216431034731439,.32879794317381383,.70083779865110518,-1.0194199760631815,-1.1428886488931977
-6648.3256528897755,118.62723944434012,5.6532797158383028,119.60281392060534,2.5750112358892570,.20006347673679692,-.17538477800959776,.63579041718306484,-.34234920456633962E-01,.50318017273444171,1.6995157971402952,.54342046814098566,.64139506558474013,.30117240059990608,.71659832810016089,-1.0276815100873622,-1.2216143179205008
-6653.7732115829976,118.55747754998119,5.6361363911723767,119.54434049958078,2.5115292179431252,.28273115145443567,-.17332296191918128,.63785723430195129,-.27315566569813945E-01,.54628727959762757,1.7151051254015193,.53977167081514843,.70024974004912033,.33835006191003525,.69068662081595678,-1.0272454809127758,-1.2632755773243880
-6649.7543068219366,118.62320830297438,5.6236310968134582,119.60819515757163,2.5467810737498788,.26548887422175055,-.12335806308131296,.65782529184919647,-.38747340386156237E-01,.58479217190611277,1.6504897858910774,.51890285896905297,.72224857252993457,.33115975329473341,.69953821039930042,-1.0599991523011414,-1.3297060157948355
-6652.1076638019840,118.57255451501990,5.6527491251860464,119.56474295803361,2.6274677747940181,.27570458675396436,-.13765958859397309,.67713247844897451,-.61446220511944712E-02,.55814153604511996,1.7316630304545793,.47866090493277869,.67246902939092534,.31628042444734145,.66225417331203518,-.96712866593353153,-1.1502149165454889
-6649.6719187039780,118.58585366252912,5.6318819859819040,119.57049999829408,2.5357189714530706,.25114416920847643,-.15311530410296223,.66163364535671709,-.10871407142008391E-01,.54749868128847001,1.6409589745807891,.50306704213297859,.69113946685431082,.31516903662186352,.70733204096129565,-1.0390937668025344,-1.2721133554366202
-6648.9071356381983,118.51532497087429,5.6485840659587474,119.47360205185112,2.5421234399299855,.28703293582664752,-.17352718582975993,.69792595274563629,.90091649542655677E-02,.54151851683522212,1.7654589245662169,.51841488610545317,.66870138167124926,.31813537741251807,.70552886429824291,-1.0322337149435636,-1.2841908364985177
-6648.2550728779097,118.57677454667790,5.6467501895064318,119.54948830268454,2.5462317631098248,.29965100845183101,-.15686404907725884,.68336935662913867,-.59825214193063156E-02,.57212180596920870,1.7161509617657036,.52664310143777548,.70300278718229980,.29252373597513565,.70379342968566017,-1.0211757540439326,-1.2988349771007379
-6647.8326476635129,118.48797722407211,5.6293531470325551,119.45496259569195,2.5240929796643616,.34222348145568166,-.15143026560433973,.70906531615820423,.68780618678964027E-02,.58533676385143751,1.7262885199456823,.50757931221895469,.71359040948754138,.32030417815196172,.70330918308144141,-1.0154465664820331,-1.2481214272275605
