Title: GRB Formation Rate inferred from the Spectral Peak Energy - Peak 
       Luminosity Relation  
Authors: Yonetoku D., Murakami T., Nakamura T., Yamazaki R., Inoue A.K., 
         Ioka K. 
Table: Redshifts and luminosities estimated by E_p_-L relation
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     Num    Trigger number 
   6- 11 F6.1   keV     Ep     Spectral peak energy  
  13- 17 F5.1   keV   E_Ep     Upper limit error in Ep 
  19- 23 F5.1   keV   e_Ep     Lower limit error in Ep
  25- 29 F5.2   ---     z      Redshift    
  31- 34 F4.2   ---   E_z      Upper limit error in z     
  36- 40 F5.2   ---   e_z      Lower limit error in z
  42- 48 E7.2   10-7W   Lum    Luminosity in units of erg/s 
  50- 59 E10.2  10-7W E_Lum    Upper limit error in Lum
  61- 69 E9.2   10-7W e_Lum    Lower limit error in Lum
--------------------------------------------------------------------------------
1885  103.8  41.8  30.8  8.17 6.05 30.64 2.13E53    2.04E53  65.28E53
1886  488.8   6.4   6.5  2.10 0.05  0.05 5.38E53    0.31E53   0.33E53
1922  170.0  25.4  27.6 10.21 4.63 13.88 8.52E53    6.40E53  49.17E53
1924   80.0  41.2  22.8  2.29 1.52  1.71 1.62E52    1.51E52   4.58E52
1956  143.8  16.5  18.5  4.47 1.19  2.02 1.45E53    0.76E53   2.02E53
1967  119.5   7.0   7.8  5.28 0.85  1.20 1.32E53    0.45E53   0.80E53
1974   53.8   2.5   3.3  0.67 0.04  0.05 1.90E51    0.26E51   0.38E51
1989   97.4  11.6  24.0  1.98 0.38  1.10 1.97E52    0.81E52   3.76E52
1993   57.1  12.4   2.8  1.62 0.50  0.14 5.25E51    3.15E51   1.14E51
1997   31.0  11.4  14.5  0.28 0.11  0.14 3.65E50    2.42E50   6.11E50
2018   53.4   2.7   3.6  1.79 0.15  0.22 5.22E51    1.01E51   1.67E51
2037  103.9  22.2  35.1  0.57 0.14  0.24 6.20E51    3.00E51   8.67E51
2047   70.0  24.5  18.6  1.63 0.76  0.87 7.94E51    6.25E51  14.55E51
2053  186.6  21.6  17.4  7.93 2.72  3.74 6.51E53    4.05E53   9.17E53
2061  223.8  56.1  58.8  4.53 2.21  5.75 3.60E53    2.87E53  20.28E53
2067  271.2   2.3   2.3  1.77 0.03  0.03 1.32E53    0.05E53   0.05E53
2074  139.8  41.1  57.3  5.30 3.00 21.63 1.82E53    1.57E53  69.21E53
2080  345.8  27.6  30.0 11.55 3.49  6.69 4.42E54    2.47E54   7.84E54
2083  332.5   4.8   4.9  1.06 0.02  0.02 1.10E53    0.05E53   0.06E53
2090  230.1   8.3   8.6  2.46 0.17  0.19 1.48E53    0.24E53   0.29E53
2102  134.2  20.5  27.4  4.84 1.68  4.40 1.44E53    0.92E53   4.98E53
2106  174.8  19.6  28.2  8.01 2.69  8.35 5.83E53    3.56E53  23.34E53
2111  105.5  16.2   5.1  7.90 3.32  1.68 2.07E53    1.49E53   1.14E53
2119  136.9   9.0   7.6  8.36 1.87  2.18 3.85E53    1.70E53   2.67E53
