                       trigger             logPbol_1eV_20MeV             logSbol_1eV_20MeV                        logEpk                    logEPR1024                        logEFR                    logFPR1024                        logT90
                          3405                 -0.134371E+02                 -0.104767E+02                  0.685480E+01                  0.202919E+02                  0.173315E+02                  0.296036E+01                  0.421051E+01
                          3088                 -0.151175E+02                 -0.132911E+02                  0.551930E+01                  0.206368E+02                  0.188104E+02                  0.182641E+01                  0.164557E+01
                          2391                 -0.152600E+02                 -0.120509E+02                  0.612027E+01                  0.213802E+02                  0.181711E+02                  0.320911E+01                  0.263333E+01
                          6987                 -0.151589E+02                 -0.127831E+02                  0.574265E+01                  0.209015E+02                  0.185257E+02                  0.237581E+01                  0.350495E+01
                          8110                 -0.137156E+02                 -0.115058E+02                  0.635283E+01                  0.200684E+02                  0.178586E+02                  0.220981E+01                  0.233215E+01
                          3339                 -0.148491E+02                 -0.114188E+02                  0.638967E+01                  0.212388E+02                  0.178084E+02                  0.343039E+01                  0.394507E+01
                          2306                 -0.141653E+02                 -0.122608E+02                  0.598902E+01                  0.201543E+02                  0.182498E+02                  0.190454E+01                  0.305021E+01
                          2069                 -0.155792E+02                 -0.144475E+02                  0.491141E+01                  0.204906E+02                  0.193589E+02                  0.113174E+01                  0.387910E+01
                           946                 -0.154786E+02                 -0.129886E+02                  0.561831E+01                  0.210969E+02                  0.186069E+02                  0.249002E+01                  0.388177E+01
                          2843                 -0.140697E+02                 -0.121527E+02                  0.601896E+01                  0.200886E+02                  0.181717E+02                  0.191695E+01                  0.241055E+01
                          6334                 -0.156991E+02                 -0.136620E+02                  0.527983E+01                  0.209790E+02                  0.189419E+02                  0.203710E+01                  0.360550E+01
                          1298                 -0.160275E+02                 -0.156722E+02                  0.424597E+01                  0.202735E+02                  0.199182E+02                  0.355289E+00                  0.136200E+01
                          6375                 -0.146798E+02                 -0.129222E+02                  0.563443E+01                  0.203142E+02                  0.185566E+02                  0.175756E+01                  0.343721E+01
                          3324                 -0.155387E+02                 -0.141845E+02                  0.500812E+01                  0.205468E+02                  0.191927E+02                  0.135415E+01                  0.363283E+01
                          6127                 -0.150575E+02                 -0.113275E+02                  0.639198E+01                  0.214495E+02                  0.177195E+02                  0.372996E+01                  0.424963E+01
                          7705                 -0.145999E+02                 -0.132858E+02                  0.543871E+01                  0.200386E+02                  0.187245E+02                  0.131404E+01                  0.275619E+01
                          1661                 -0.152375E+02                 -0.117975E+02                  0.615942E+01                  0.213969E+02                  0.179569E+02                  0.344006E+01                  0.360196E+01
                           820                 -0.148459E+02                 -0.119055E+02                  0.610415E+01                  0.209501E+02                  0.180097E+02                  0.294040E+01                  0.345570E+01
                          1601                 -0.129353E+02                 -0.103186E+02                  0.682947E+01                  0.197648E+02                  0.171481E+02                  0.261666E+01                  0.388177E+01
                          5513                 -0.157599E+02                 -0.133429E+02                  0.538805E+01                  0.211480E+02                  0.187310E+02                  0.241702E+01                  0.283262E+01
                          3908                 -0.146895E+02                 -0.132711E+02                  0.542029E+01                  0.201098E+02                  0.186914E+02                  0.141839E+01                  0.263333E+01
                          1830                 -0.144279E+02                 -0.110498E+02                  0.647947E+01                  0.209074E+02                  0.175293E+02                  0.337812E+01                  0.504407E+01
                          3471                 -0.149159E+02                 -0.123934E+02                  0.583705E+01                  0.207530E+02                  0.182305E+02                  0.252248E+01                  0.298618E+01
                          6631                 -0.148972E+02                 -0.135135E+02                  0.527753E+01                  0.201747E+02                  0.187911E+02                  0.138362E+01                  0.196963E+01
                          5626                 -0.149767E+02                 -0.127271E+02                  0.566206E+01                  0.206388E+02                  0.183892E+02                  0.224963E+01                  0.310324E+01
                          1468                 -0.124134E+02                 -0.981219E+01                  0.702749E+01                  0.194409E+02                  0.168397E+02                  0.260123E+01                  0.393457E+01
                          2727                 -0.150399E+02                 -0.115768E+02                  0.620316E+01                  0.212430E+02                  0.177799E+02                  0.346309E+01                  0.416340E+01
                          6330                 -0.157148E+02                 -0.135955E+02                  0.520614E+01                  0.209209E+02                  0.188016E+02                  0.211930E+01                  0.267623E+01
                          7108                 -0.146220E+02                 -0.132466E+02                  0.537654E+01                  0.199985E+02                  0.186231E+02                  0.137536E+01                  0.505689E+01
